screen_name,favorite_count,retweet_count,followers_count
RosanaFerrero,3,2,590
RosanaFerrero,6,1,590
RosanaFerrero,4,6,590
RosanaFerrero,3,3,590
RosanaFerrero,0,0,590
RosanaFerrero,3,1,590
RosanaFerrero,0,0,590
RosanaFerrero,2,0,590
RosanaFerrero,5,2,590
RosanaFerrero,4,3,590
RosanaFerrero,7,4,590
RosanaFerrero,3,0,590
RosanaFerrero,10,4,590
RosanaFerrero,2,3,590
RosanaFerrero,3,3,590
RosanaFerrero,2,1,590
RosanaFerrero,0,0,590
RosanaFerrero,2,0,590
RosanaFerrero,1,1,590
RosanaFerrero,2,2,590
RosanaFerrero,1,3,590
RosanaFerrero,7,3,590
RosanaFerrero,4,1,590
RosanaFerrero,0,1,590
RosanaFerrero,0,0,590
RosanaFerrero,2,2,590
RosanaFerrero,2,0,590
RosanaFerrero,7,2,590
RosanaFerrero,0,1,590
RosanaFerrero,2,5,590
RosanaFerrero,2,0,590
RosanaFerrero,3,2,590
RosanaFerrero,1,1,590
RosanaFerrero,1,0,590
RosanaFerrero,0,0,590
RosanaFerrero,1,0,590
RosanaFerrero,2,4,590
RosanaFerrero,0,0,590
RosanaFerrero,0,1,590
